"progress","duration","qualtrics_id","id","doi","d_filter","d_synth","c_filter","comments","cr-1","cr-1-1	","cr-1-2","cr-3","cr-3-text","cr-4","cr-4-text","cr-f-1","cr-f-2","cr-f-1-1","cr-a-1","cr-a-2","cr-i-1","cr-i-2","cr-i-3","cr-i-4","cr-r-1","cr-r-2","cr-r-3","cr-r-1-1","dr-1","dr-1-1","dr-1-2","dr-1-2-1","dr-2","dr-2-1","dr-f-1","dr-f-2","dr-f-3","dr-f-1-1","dr-a-1","dr-a-2","dr-i-1","dr-i-2","dr-r-1","dr-r-2","dr-r-3","dr-r-1-1"
"Progress","Duration (in seconds)","Response ID","Publication Unique ID","Publication DOI","Does the publication rely on one or more datasets?","Does the publication rely on synthetic or simulated data?","Does the publication rely on computation (e.g., code, GIS processing)?","Please record any additional note or comments about this entry.","Code is publicly available and accessible from the publication (e.g., in a repository, or through a URL)?","What is the name of the public repository hosting the code? (e.g., GitHub, Figshare)","Provide the URLs used to access the data","For the inaccessible code, what reason was provided for not sharing the code? - Selected Choice","For the inaccessible code, what reason was provided for not sharing the code? - Other, please specify - Text","The procedure use to create synthetic/simulated data is described in the code in a way that allows for recreation of the data. - Selected Choice","The procedure use to create synthetic/simulated data is described in the code in a way that allows for recreation of the data. - Unclear, specify why - Text","Are the available code used in the publication Findable? - Code is assigned a unique and persistent identifier (e.g., DOI)","Are the available code used in the publication Findable? - Code is registered or indexed in a searchable resource","What is the persistent identifier of the code?","Are the available code used in the publication Accessible? - Code are retrievable by their identifier using a standardized communications protocol","Are the available code used in the publication Accessible? - Code uses a consistent and readable commenting style","Are the available code used in the publication Interoperable? - Code identifies package dependencies","Are the available code used in the publication Interoperable? - Code identifies package versions","Are the available code used in the publication Interoperable? - Publication or code specifies computing infrastructure used","Are the available code used in the publication Interoperable? - Code and data packaged in a container (e.g., docker)","Is the code used in the publication Reusable? - Code is released with a clear and accessible license","Is the code used in the publication Reusable? - Code lists all parameters used in model/algorithm","Is the code used in the publication Reusable? - If an algorithms depend on randomness, seed setting methods are described in a way sufficient to allow reproduction of results","What license is applied to the code?","Data used is publicly available and accessible from the publication (e.g., in a repository, or through a URL)?","Provide the URLs used to access the data","For the inaccessible data, what reason was provided for not sharing the data? - Selected Choice","For the inaccessible data, what reason was provided for not sharing the data? - Other, please specify - Text","Is a metadata provided for the data?","Provide the URLs where the metadata can be accessed","Are the available data and metadata used in the publication Findable? - Data are assigned a globally unique and persistent identifier (e.g., DOI)","Are the available data and metadata used in the publication Findable? - Data are registered or indexed in a searchable resource","Are the available data and metadata used in the publication Findable? - Metadata clearly and explicitly include the identifier of the data it describes","What is the persistent identifier of the data?","Are the available data and metadata used in the publication Accessible? - Data are retrievable by their identifier using a standardized communications protocol","Are the available data and metadata used in the publication Accessible? - Metadata are accessible even when the data are no longer available","Are the available data and metadata used in the publication Interoperable? - Metadata use a broadly applicable language for knowledge representation","Are the available data and metadata used in the publication Interoperable? - Metadata include qualified references to other metadata","Are the available data and metadata used in the publication Reusable? - Data are released with a clear and accessible data usage license","Are the available data and metadata used in the publication Reusable? - Data are described with accurate and relevant attributes","Are the available data and metadata used in the publication Reusable? - Data have detailed provenance","What license is applied to the data?"
"{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""_recordId""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID27_TEXT""}","{""ImportId"":""QID1""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID33_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID32_TEXT""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID18""}","{""ImportId"":""QID18_5_TEXT""}","{""ImportId"":""QID26""}","{""ImportId"":""QID26_3_TEXT""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID21_2""}","{""ImportId"":""QID22_TEXT""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID20_2""}","{""ImportId"":""QID23_1""}","{""ImportId"":""QID23_3""}","{""ImportId"":""QID23_2""}","{""ImportId"":""QID23_4""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID24_2""}","{""ImportId"":""QID24_3""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID9_5_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_2""}","{""ImportId"":""QID3_3""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID7_2""}","{""ImportId"":""QID7_3""}","{""ImportId"":""QID13_TEXT""}"
"100","284","R_6Vg88i70CmqHx9T","1","10.1080/13658816.2024.2391969","Yes","Yes","Yes","","No","","","Other, please specify","Failed to provide URL","Unclear, specify why","Described in text, failed to provide URL for code","","","","","","","","","","","","","","No","","Limited by data contract","","No","","","","","","","","","","","","",""
"100","458","R_7O0ueUKgh05xv32","2","10.1080/13658816.2024.2389410","Yes","Yes","Yes","","Yes","","https://github.com/miladmzdh/LMI","","","No","","No","Yes","","No","Yes","Yes","","No","","No","Unclear","Unclear","","No","","Unethical due to privacy concerns","","Yes","https://github.com/miladmzdh/LMI","","","","","","","","","","","",""
"100","661","R_3vf4VeESvTtmUgp","3","10.1080/13658816.2024.2387200","Yes","No","Yes","","Yes","Figshare","https://figshare.com/articles/journal_contribution/DCAI-CLUD_a_data-centric_framework_for_the_construction_of_land-use_datasets/24942510","","","","","No","Yes","","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","CC BY 4.0","Partial, some data cannot be accessed","http://doi.org/10.6084/m9.figshare.24942510","Other, please specify","Copyright","Yes","https://figshare.com/articles/journal_contribution/DCAI-CLUD_a_data-centric_framework_for_the_construction_of_land-use_datasets/24942510","Unclear","Yes","Unclear","","Yes","Unclear","No","Unclear","Yes","Unclear","No",""
"100","893","R_6iagDCs7wtJOmBz","4","https://www.tandfonline.com/doi/full/10.1080/13658816.2024.2382273","Yes","Yes","Yes","","No","","","Other, please specify","The link shared for code is not found anymore. ","No","","","","","","","","","","","","","","","No","","Other, please specify","The webpage shared in the paper is not found anymore.","No","","","","","","","","","","","","",""
"100","862","R_3kGn3OLOgg5FdDm","5","https://www.tandfonline.com/doi/full/10.1080/13658816.2024.2381225","Yes","Yes","Yes","","Yes","GitHub","https://github.com/csu-mapping/map-encryption/tree/main","","","Unclear, specify why","Only key codes are presented.","Unclear","Unclear","","Yes","Yes","Unclear","Unclear","No","No","No","Unclear","No","","Yes","https://github.com/csu-mapping/map-encryption","","","No","","Unclear","Unclear","Unclear","","Yes","Unclear","Unclear","Unclear","No","Yes","No","not shared"
"100","5340","R_1aM6H5gGkzAA2Ea","6","https://www.tandfonline.com/doi/full/10.1080/13658816.2024.2381221","Yes","Yes","Yes","","Yes","GitHub","https://github.com/ucasVachel/MTC-gnn?tab=readme-ov-file","","","Yes","","Unclear","Yes","","Yes","Yes","Yes","Unclear","Yes","Unclear","No","Unclear","Unclear","","Yes","https://github.com/ucasVachel/MTC-gnn","","","No","","Unclear","Yes","Unclear","","Yes","Unclear","Unclear","Unclear","Yes","Yes","Unclear","used python, other details not specified"
"100","570","R_5MFqPL2Y3nijWyD","7","https://www.tandfonline.com/doi/full/10.1080/13658816.2024.2379473","Yes","Yes","Yes","","Partial, some code cannot be accessed","GitHub","https://www.tandfonline.com/doi/full/10.1080/13658816.2024.2379473","Unethical due to privacy concerns,Unethical due to security concerns","","No","","No","Unclear","","Yes","Yes","Unclear","Unclear","Yes","No","Yes","No","No","MIT license","Partial, some data cannot be accessed","https://www.tandfonline.com/doi/full/10.1080/13658816.2024.2379473","Unethical due to privacy concerns,Unethical due to security concerns","","No","","Unclear","Yes","Unclear","","Yes","Unclear","Unclear","Unclear","Unclear","No","No",""
"100","906","R_1MGyKsIg74OVNwZ","8","https://www.tandfonline.com/doi/full/10.1080/13658816.2024.2369539","Yes","Yes","Yes","","Yes","GitHub","https://doi.org/10.6084/m9.figshare.25968280.v1","","","","","Yes","Yes","https://doi.org/10.6084/m9.figshare.25968280.v1","Yes","Yes","Yes","Yes","Yes","Unclear","Yes","Yes","Yes","MIT","Yes","https://github.com/DigitalGeographyLab/Finger-geoparser","","","No","","Yes","Yes","Unclear","https://doi.org/10.6084/m9.figshare.25968280.v1","Yes","Unclear","Unclear","Unclear","Yes","Yes","Yes","MIT"
