"progress","duration","qualtrics_id","ID","doi","d_filter","d_synth","c_filter","comments","cr.1","cr.1.1","cr.1.2","cr.3","cr.3.text","cr.4","cr.4.text","cr.f.1","cr.f.2","cr.f.1.1","cr.a.1","cr.a.2","cr.i.1","cr.i.2","cr.i.3","cr.i.4","cr.r.1","cr.r.2","cr.r.3","cr.r.1.1","dr.1","dr.1.1","dr.1.2","dr.1.2.1","dr.2","dr.2.1","dr.f.1","dr.f.2","dr.f.3","dr.f.1.1","dr.a.1","dr.a.2","dr.i.1","dr.i.2","dr.r.1","dr.r.2","dr.r.3","dr.r.1.1","pre.post","year_after_policy","reproducibility_rating"
100,184,"R_614IO6zNjz3qVUo",595,"https://cloud.anylogic.com/model/64d09b7f-fcd6-4b04-af26-834a26be569d?mode=SETTINGS","Yes","Yes","Yes","Data and code on anylogic. Can be accessed, but difficult to interpret some elements","Yes","Anylogic","https://cloud.anylogic.com/model/64d09b7f-fcd6-4b04-af26-834a26be569d?mode=SETTINGS","","","Unclear, specify why","Reference details in prior publication","Unclear","Yes","","Unclear","Yes","Unclear","Unclear","Yes","No","Unclear","Unclear","Unclear","Not Specified","Yes","https://cloud.anylogic.com/model/64d09b7f-fcd6-4b04-af26-834a26be569d?mode=SETTINGS","","","Yes","https://cloud.anylogic.com/model/64d09b7f-fcd6-4b04-af26-834a26be569d?mode=SETTINGS","Unclear","Yes","Unclear","","Yes","Unclear","No","No","No","No","Yes","","pre-policy",NA,2
100,209,"R_3i37siQXsB1X5Bd",43,"https://www.tandfonline.com/doi/full/10.1080/13658816.2024.2348736","Yes","Yes","Yes","","Yes","Archive","https://archive.researchdata.leeds.ac.uk/1276/","","","Yes","","Yes","Yes","https://archive.researchdata.leeds.ac.uk/1276/","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","CC BY 4.0","Yes","https://archive.researchdata.leeds.ac.uk/1276/","","","Yes","https://archive.researchdata.leeds.ac.uk/1276/","Yes","Yes","Yes","https://archive.researchdata.leeds.ac.uk/1276/","Yes","Unclear","Yes","Yes","Yes","Yes","Unclear","CC BY 4.0","post-policy",4,4
100,503,"R_1CxIQ5GqE98ipYN",10,"https://www.tandfonline.com/doi/full/10.1080/13658816.2024.2395953","Yes","Yes","Yes","","Yes","Figshare and GitHub","https://doi.org/10.6084/m9.figshare.24271774.","","","Yes","","Yes","Yes","https://doi.org/10.6084/m9.figshare.24271774.","Yes","Yes","Yes","Yes","Unclear","Unclear","Yes","Yes","Yes","Not Specified ","Yes","https://doi.org/10.6084/m9.figshare.24271774","","","No",NA,"Yes","Yes",NA,"https://doi.org/10.6084/m9.figshare.24271774",NA,"Unclear",NA,NA,"No","Unclear","Unclear","","post-policy",5,1
100,252,"R_7RtZTev0BirlQIh",176,"https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2131789","Yes","Yes","Yes","","Yes","Figshare and GitHub","https://github.com/alexanderbrenning/spdiag","","","Yes","","Yes","Yes","https://github.com/alexanderbrenning/spdiag","Yes","Yes","Yes","Yes","Yes","No","Unclear","Yes","Unclear","GPL 3.0+","Yes","https://figshare.com/articles/journal_contribution/Code_and_data_related_to_Spatial_Machine-Learning_Model_Diagnostics_A_Model-Agnostic_Distance-Based_Approach/15157458","","","Yes","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2131789#","Yes","Yes","No","https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2131789#","Yes","Yes","Yes","Yes","Unclear","Yes","Yes","","post-policy",3,4
100,295,"R_3GdgjD1glWxQlEt",260,"https://www.tandfonline.com/doi/full/10.1080/13658816.2021.2004603","Yes","Yes","Yes","Looking at the github code, the instructions are actually clear, there is a high possibility for reproduction. ","Yes","Figshare and GitHub","https://figshare.com/articles/journal_contribution/Data_and_Code_of_PaRGO_V2/15345921/1","","","Unclear, specify why","Only key codes are presented.","Yes","Yes","https://github.com/lreis2415/PaRGO","Yes","Yes","Yes","Unclear","Yes","No","Unclear","Yes","Yes","CC BY 4.0","Yes","https://figshare.com/articles/journal_contribution/Data_and_Code_of_PaRGO_V2/15345921/1","","","No",NA,"Yes","Yes",NA,"https://figshare.com/articles/journal_contribution/Data_and_Code_of_PaRGO_V2/15345921/1",NA,"No",NA,NA,"No","Yes","No","","post-policy",2,1
100,372,"R_3v6XMlUkMJw1ETr",234,"https://www.tandfonline.com/doi/full/10.1080/13658816.2022.2053980","Yes","Yes","Yes","","Yes","Figshare and GitHub","https://github.com/GeoDS/STICC","","","Yes","","Yes","Yes","https://github.com/GeoDS/STICC","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","BSD 2Clause License","Yes","https://github.com/GeoDS/STICC/blob/master/LICENSE","","","No",NA,"Yes","Yes",NA,"https://github.com/GeoDS/STICC",NA,"Unclear",NA,NA,"Unclear","Yes","Unclear","","post-policy",2,1
100,333,"R_3DMakeUaX0anJto",59,"https://www.tandfonline.com/doi/full/10.1080/13658816.2024.2333930","Yes","Yes","Yes","","Yes","Comses","https://www.comses.net/codebases/4b15c3d7-2819-4c1f-9b82-4a63feb0724c/releases/1.0.0/","","","Yes","","Yes","Yes","https://www.comses.net/codebases/4b15c3d7-2819-4c1f-9b82-4a63feb0724c/releases/1.0.0/","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Unclear","CC BY 4.0","Yes","https://www.comses.net/codebases/4b15c3d7-2819-4c1f-9b82-4a63feb0724c/releases/1.0.0/","","","Yes","https://www.comses.net/codebases/4b15c3d7-2819-4c1f-9b82-4a63feb0724c/releases/1.0.0/","Yes","Yes","Unclear","https://www.comses.net/codebases/4b15c3d7-2819-4c1f-9b82-4a63feb0724c/releases/1.0.0/","Yes","No","Yes","Unclear","No","Yes","No","","post-policy",4,4
100,288,"R_3V3nk5hKFnf5UKE",264,"https://www.tandfonline.com/doi/full/10.1080/13658816.2021.2011292","Yes","Yes","Yes","","Yes","Datadryad.org","https://datadryad.org/dataset/doi:10.25349/D9SP5G","","","Unclear, specify why","Only key codes are presented.","Yes","Yes","https://datadryad.org/dataset/doi:10.25349/D9SP5G","Yes","Yes","Yes","Unclear","No","No","Unclear","Yes","No","Not Specified","Yes","https://datadryad.org/dataset/doi:10.25349/D9SP5G","","","No",NA,"Unclear","Yes",NA,"",NA,"Unclear",NA,NA,"No","Unclear","No","","post-policy",2,1
100,1392,"R_3G3BHl8ksptoIY7",31,"https://www.tandfonline.com/doi/full/10.1080/13658816.2024.2355326","Yes","Yes","Yes","","Yes","","https://osf.io/sur6q/","","","Yes","","Yes","Yes","https://osf.io/sur6q/","Yes","Yes","Yes","Yes","Yes","Unclear","Unclear","Yes","Yes","Not Specified","Yes","https://www.tandfonline.com/doi/full/10.1080/13658816.2024.2355326","","","Yes","https://osf.io/sur6q/","Yes","Yes","Yes","https://osf.io/sur6q/","Yes","Yes","Yes","Yes","Unclear","Yes","Yes","","post-policy",5,4
100,737,"R_3wjHQyCsKBBwhRD",39,"https://www.tandfonline.com/doi/full/10.1080/13658816.2024.2347306","Yes","Yes","Yes","","Yes","","https://doi.org/10.17605/OSF.IO/8ZXUD","","","Unclear, specify why","Only key codes are presented.","Yes","No","https://doi.org/10.17605/OSF.IO/8ZXUD","Yes","Yes","Yes","Yes","No","No","No","Yes","Unclear","Not Specified","Yes","https://doi.org/10.17605/OSF.IO/8ZXUD","","","Yes","https://doi.org/10.17605/OSF.IO/8ZXUD","Yes","No","Unclear","https://doi.org/10.17605/OSF.IO/8ZXUD","Yes","No","Yes","Unclear","Unclear","Yes","No","","post-policy",4,4
