"Variable","Response","Count","Percent_of_Valid","Percent_of_Total","N_Valid","N_Missing","Percent_Missing"
"d_filter","Yes",21,100,100,21,0,0
"d_synth","No",19,90.5,90.5,21,0,0
"d_synth","Yes",2,9.5,9.5,21,0,0
"c_filter","Yes",21,100,100,21,0,0
"cr.1","No",17,81,81,21,0,0
"cr.1","Partial, some code cannot be accessed",1,4.8,4.8,21,0,0
"cr.1","Yes",3,14.3,14.3,21,0,0
"cr.1.1","Anylogic",1,25,4.8,4,17,81
"cr.1.1","Figshare",1,25,4.8,4,17,81
"cr.1.1","GitHub",1,25,4.8,4,17,81
"cr.1.1","Open Science Framework",1,25,4.8,4,17,81
"cr.1.1","Missing/NA",17,NA,81,4,17,81
"cr.4","No",1,50,4.8,2,19,90.5
"cr.4","Unclear, specify why",1,50,4.8,2,19,90.5
"cr.4","Missing/NA",19,NA,90.5,2,19,90.5
"cr.f.1","No",1,25,4.8,4,17,81
"cr.f.1","Unclear",1,25,4.8,4,17,81
"cr.f.1","Yes",2,50,9.5,4,17,81
"cr.f.1","Missing/NA",17,NA,81,4,17,81
"cr.f.2","Yes",4,100,19,4,17,81
"cr.f.2","Missing/NA",17,NA,81,4,17,81
"cr.a.1","Unclear",1,25,4.8,4,17,81
"cr.a.1","Yes",3,75,14.3,4,17,81
"cr.a.1","Missing/NA",17,NA,81,4,17,81
"cr.a.2","No",1,25,4.8,4,17,81
"cr.a.2","Yes",3,75,14.3,4,17,81
"cr.a.2","Missing/NA",17,NA,81,4,17,81
"cr.i.1","Unclear",1,25,4.8,4,17,81
"cr.i.1","Yes",3,75,14.3,4,17,81
"cr.i.1","Missing/NA",17,NA,81,4,17,81
"cr.i.2","No",2,66.7,9.5,3,18,85.7
"cr.i.2","Unclear",1,33.3,4.8,3,18,85.7
"cr.i.2","Missing/NA",18,NA,85.7,3,18,85.7
"cr.i.3","No",1,33.3,4.8,3,18,85.7
"cr.i.3","Yes",2,66.7,9.5,3,18,85.7
"cr.i.3","Missing/NA",18,NA,85.7,3,18,85.7
"cr.i.4","No",2,66.7,9.5,3,18,85.7
"cr.i.4","Unclear",1,33.3,4.8,3,18,85.7
"cr.i.4","Missing/NA",18,NA,85.7,3,18,85.7
"cr.r.1","Unclear",1,25,4.8,4,17,81
"cr.r.1","Yes",3,75,14.3,4,17,81
"cr.r.1","Missing/NA",17,NA,81,4,17,81
"cr.r.2","Unclear",1,25,4.8,4,17,81
"cr.r.2","Yes",3,75,14.3,4,17,81
"cr.r.2","Missing/NA",17,NA,81,4,17,81
"cr.r.3","Unclear",1,25,4.8,4,17,81
"cr.r.3","Yes",3,75,14.3,4,17,81
"cr.r.3","Missing/NA",17,NA,81,4,17,81
"cr.r.1.1","Apache 2.0",1,25,4.8,4,17,81
"cr.r.1.1","CC BY 4.0",1,25,4.8,4,17,81
"cr.r.1.1","MIT",1,25,4.8,4,17,81
"cr.r.1.1","Not Specified",1,25,4.8,4,17,81
"cr.r.1.1","Missing/NA",17,NA,81,4,17,81
"dr.1","No",15,71.4,71.4,21,0,0
"dr.1","Partial, some data cannot be accessed",2,9.5,9.5,21,0,0
"dr.1","Yes",4,19,19,21,0,0
"dr.1.2","No reason was provided",15,88.2,71.4,17,4,19
"dr.1.2","No reason was provided,Unethical due to privacy concerns",1,5.9,4.8,17,4,19
"dr.1.2","Unethical due to privacy concerns,Limited by data contract,Other, please specify",1,5.9,4.8,17,4,19
"dr.1.2","Missing/NA",4,NA,19,17,4,19
"dr.2","No",18,85.7,85.7,21,0,0
"dr.2","Yes",3,14.3,14.3,21,0,0
"dr.f.1","No",2,33.3,9.5,6,15,71.4
"dr.f.1","Unclear",2,33.3,9.5,6,15,71.4
"dr.f.1","Yes",2,33.3,9.5,6,15,71.4
"dr.f.1","Missing/NA",15,NA,71.4,6,15,71.4
"dr.f.2","Unclear",1,16.7,4.8,6,15,71.4
"dr.f.2","Yes",5,83.3,23.8,6,15,71.4
"dr.f.2","Missing/NA",15,NA,71.4,6,15,71.4
"dr.f.3","Unclear",3,100,14.3,3,18,85.7
"dr.f.3","Missing/NA",18,NA,85.7,3,18,85.7
"dr.a.1","Yes",3,100,14.3,3,18,85.7
"dr.a.1","Missing/NA",18,NA,85.7,3,18,85.7
"dr.a.2","Unclear",4,80,19,5,16,76.2
"dr.a.2","Yes",1,20,4.8,5,16,76.2
"dr.a.2","Missing/NA",16,NA,76.2,5,16,76.2
"dr.i.1","No",2,66.7,9.5,3,18,85.7
"dr.i.1","Unclear",1,33.3,4.8,3,18,85.7
"dr.i.1","Missing/NA",18,NA,85.7,3,18,85.7
"dr.i.2","No",3,100,14.3,3,18,85.7
"dr.i.2","Missing/NA",18,NA,85.7,3,18,85.7
"dr.r.1","No",2,33.3,9.5,6,15,71.4
"dr.r.1","Unclear",2,33.3,9.5,6,15,71.4
"dr.r.1","Yes",2,33.3,9.5,6,15,71.4
"dr.r.1","Missing/NA",15,NA,71.4,6,15,71.4
"dr.r.2","No",4,66.7,19,6,15,71.4
"dr.r.2","Unclear",2,33.3,9.5,6,15,71.4
"dr.r.2","Missing/NA",15,NA,71.4,6,15,71.4
"dr.r.3","Unclear",2,33.3,9.5,6,15,71.4
"dr.r.3","Yes",4,66.7,19,6,15,71.4
"dr.r.3","Missing/NA",15,NA,71.4,6,15,71.4
"pre.post","pre-policy",21,100,100,21,0,0
"year_after_policy","All Missing",21,NA,100,0,21,100
"reproducibility_rating","0",18,85.7,85.7,21,0,0
"reproducibility_rating","2",3,14.3,14.3,21,0,0
