"Variable","N_Valid","N_Missing","Percent_Missing","N_Categories","Most_Common","Most_Common_Pct"
"c_filter",389,0,0,2,"Yes",94.6
"cr.1",368,21,5.4,3,"Yes",85.6
"cr.1.1",327,62,15.9,16,"Figshare",76.5
"cr.4",311,78,20.1,5,"Unclear, specify why",48.6
"cr.a.1",328,61,15.7,3,"Yes",96.6
"cr.a.2",330,59,15.2,3,"Yes",95.5
"cr.f.1",331,58,14.9,3,"Yes",95.2
"cr.f.2",331,58,14.9,3,"Yes",82.8
"cr.i.1",325,64,16.5,3,"Yes",89.2
"cr.i.2",323,66,17,3,"Yes",67.5
"cr.i.3",328,61,15.7,3,"No",47
"cr.i.4",327,62,15.9,3,"No",96
"cr.r.1",329,60,15.4,3,"No",48.9
"cr.r.1.1",351,38,9.8,25,"CC BY 4.0",66.1
"cr.r.2",330,59,15.2,3,"Yes",90.6
"cr.r.3",320,69,17.7,3,"Unclear",55.3
"d_filter",389,0,0,2,"Yes",94.9
"d_synth",389,0,0,2,"Yes",80.5
"dr.1",369,20,5.1,3,"Yes",84
"dr.1.2",59,330,84.8,9,"No reason was provided",33.9
"dr.2",369,20,5.1,2,"No",60.4
"dr.a.1",145,244,62.7,2,"Yes",98.6
"dr.a.2",288,101,26,3,"No",68.4
"dr.f.1",332,57,14.7,3,"Yes",92.2
"dr.f.2",332,57,14.7,3,"Yes",78.3
"dr.f.3",144,245,63,3,"Yes",64.6
"dr.i.1",144,245,63,3,"Yes",88.2
"dr.i.2",144,245,63,3,"Yes",59.7
"dr.r.1",331,58,14.9,3,"No",63.7
"dr.r.2",330,59,15.2,3,"Yes",81.8
"dr.r.3",331,58,14.9,3,"No",81.3
"pre.post",389,0,0,2,"post-policy",93.8
"year_after_policy",361,28,7.2,5,"3",27.7
