"Variable","N_Valid","N_Missing","Percent_Missing","N_Categories","Most_Common","Most_Common_Pct"
"c_filter",404,0,0,2,"Yes",94.1
"cr.1",380,24,5.9,3,"Yes",83.4
"cr.1.1",329,75,18.6,16,"Figshare",76
"cr.4",312,92,22.8,5,"Unclear, specify why",48.7
"cr.a.1",331,73,18.1,3,"Yes",96.1
"cr.a.2",333,71,17.6,3,"Yes",95.2
"cr.f.1",334,70,17.3,3,"Yes",94.3
"cr.f.2",334,70,17.3,3,"Yes",82.3
"cr.i.1",328,76,18.8,3,"Yes",89
"cr.i.2",326,78,19.3,3,"Yes",66.9
"cr.i.3",331,73,18.1,3,"No",47.4
"cr.i.4",330,74,18.3,3,"No",96.1
"cr.r.1",343,61,15.1,3,"Yes",85.7
"cr.r.1.1",362,42,10.4,10,"CC BY 4.0",64.1
"cr.r.2",333,71,17.6,3,"Yes",90.4
"cr.r.3",323,81,20,3,"Unclear",55.1
"d_filter",404,0,0,2,"Yes",94.3
"d_synth",404,0,0,2,"Yes",77.7
"dr.1",381,23,5.7,3,"Yes",81.6
"dr.1.2",70,334,82.7,9,"No reason was provided",40
"dr.2",381,23,5.7,2,"No",61.7
"dr.a.1",145,259,64.1,2,"Yes",98.6
"dr.a.2",290,114,28.2,3,"No",67.9
"dr.f.1",337,67,16.6,3,"Yes",91.1
"dr.f.2",337,67,16.6,3,"Yes",78
"dr.f.3",144,260,64.4,3,"Yes",64.6
"dr.i.1",144,260,64.4,3,"Yes",88.2
"dr.i.2",144,260,64.4,3,"Yes",59.7
"dr.r.1",336,68,16.8,3,"No",63.7
"dr.r.2",335,69,17.1,3,"Yes",80.9
"dr.r.3",336,68,16.8,3,"No",80.7
"pre.post",404,0,0,2,"post-policy",90.6
"reproducibility_rating",383,21,5.2,6,"1",42.6
"year_after_policy",361,43,10.6,5,"3",27.7
