"Variable","N_Valid","N_Missing","Percent_Missing","N_Categories","Most_Common","Most_Common_Pct"
"c_filter",350,0,0,2,"Yes",99.1
"cr.1",347,3,0.9,3,"Yes",89.9
"cr.1.1",323,27,7.7,15,"Figshare",77.1
"cr.4",309,41,11.7,5,"Unclear, specify why",48.5
"cr.a.1",324,26,7.4,3,"Yes",96.9
"cr.a.2",326,24,6.9,3,"Yes",95.7
"cr.f.1",327,23,6.6,3,"Yes",95.7
"cr.f.2",327,23,6.6,3,"Yes",82.6
"cr.i.1",321,29,8.3,3,"Yes",89.4
"cr.i.2",320,30,8.6,3,"Yes",68.1
"cr.i.3",325,25,7.1,3,"No",47.1
"cr.i.4",324,26,7.4,3,"No",96.3
"cr.r.1",325,25,7.1,3,"No",49.5
"cr.r.1.1",345,5,1.4,25,"CC BY 4.0",67
"cr.r.2",326,24,6.9,3,"Yes",90.8
"cr.r.3",316,34,9.7,3,"Unclear",55.7
"d_filter",350,0,0,2,"Yes",99.4
"d_synth",350,0,0,2,"Yes",88.9
"dr.1",348,2,0.6,3,"Yes",87.9
"dr.1.2",42,308,88,7,"Other, please specify",40.5
"dr.2",348,2,0.6,2,"No",58.9
"dr.a.1",142,208,59.4,2,"Yes",98.6
"dr.a.2",283,67,19.1,3,"No",69.6
"dr.f.1",326,24,6.9,3,"Yes",93.3
"dr.f.2",326,24,6.9,3,"Yes",78.2
"dr.f.3",141,209,59.7,3,"Yes",66
"dr.i.1",141,209,59.7,2,"Yes",90.1
"dr.i.2",141,209,59.7,3,"Yes",61
"dr.r.1",325,25,7.1,3,"No",64.3
"dr.r.2",324,26,7.4,3,"Yes",83.3
"dr.r.3",325,25,7.1,3,"No",82.8
"pre.post",350,0,0,1,"post-policy",100
"reproducibility_rating",350,0,0,6,"1",46.3
"year_after_policy",349,1,0.3,5,"3",28.1
