"Variable","N_Valid","N_Missing","Percent_Missing","N_Categories","Most_Common","Most_Common_Pct"
"c_filter",32,0,0,1,"Yes",100
"cr.1",32,0,0,3,"No",78.1
"cr.1.1",6,26,81.2,5,"GitHub",33.3
"cr.4",3,29,90.6,2,"Unclear, specify why",66.7
"cr.a.1",7,25,78.1,3,"Yes",57.1
"cr.a.2",7,25,78.1,2,"Yes",71.4
"cr.f.1",7,25,78.1,3,"No",57.1
"cr.f.2",7,25,78.1,2,"Yes",71.4
"cr.i.1",7,25,78.1,3,"Yes",71.4
"cr.i.2",6,26,81.2,2,"No",83.3
"cr.i.3",6,26,81.2,2,"No",66.7
"cr.i.4",6,26,81.2,2,"No",83.3
"cr.r.1",7,25,78.1,3,"Yes",57.1
"cr.r.1.1",14,18,56.2,5,"Not Specified ",64.3
"cr.r.2",7,25,78.1,3,"Yes",71.4
"cr.r.3",7,25,78.1,3,"Yes",57.1
"d_filter",32,0,0,1,"Yes",100
"d_synth",32,0,0,2,"No",90.6
"dr.1",32,0,0,3,"No",65.6
"dr.1.2",27,5,15.6,6,"No reason was provided",81.5
"dr.2",32,0,0,2,"No",90.6
"dr.a.1",3,29,90.6,1,"Yes",100
"dr.a.2",7,25,78.1,2,"Unclear",85.7
"dr.f.1",11,21,65.6,3,"No",54.5
"dr.f.2",11,21,65.6,3,"Yes",72.7
"dr.f.3",3,29,90.6,1,"Unclear",100
"dr.i.1",3,29,90.6,2,"No",66.7
"dr.i.2",3,29,90.6,1,"No",100
"dr.r.1",11,21,65.6,3,"No",45.5
"dr.r.2",11,21,65.6,3,"No",63.6
"dr.r.3",11,21,65.6,3,"Yes",45.5
"pre.post",32,0,0,1,"pre-policy",100
"reproducibility_rating",32,0,0,3,"0",87.5
"year_after_policy",0,32,100,1,"All Missing",NA
