"Variable","N_Valid","N_Missing","Percent_Missing","N_Categories","Most_Common","Most_Common_Pct"
"c_filter",40,0,0,1,"Yes",100
"cr.1",40,0,0,3,"Yes",87.5
"cr.1.1",36,4,10,2,"Figshare",91.7
"cr.4",21,19,47.5,4,"Unclear, specify why",42.9
"cr.a.1",34,6,15,2,"Yes",97.1
"cr.a.2",35,5,12.5,3,"Yes",88.6
"cr.f.1",36,4,10,2,"Yes",88.9
"cr.f.2",36,4,10,3,"Yes",94.4
"cr.i.1",34,6,15,3,"Yes",94.1
"cr.i.2",34,6,15,3,"Yes",61.8
"cr.i.3",36,4,10,3,"No",52.8
"cr.i.4",36,4,10,2,"No",97.2
"cr.r.1",34,6,15,3,"Yes",44.1
"cr.r.1.1",38,2,5,6,"CC BY 4.0",68.4
"cr.r.2",36,4,10,3,"Yes",91.7
"cr.r.3",28,12,30,3,"Yes",64.3
"d_filter",40,0,0,1,"Yes",100
"d_synth",40,0,0,2,"Yes",52.5
"dr.1",40,0,0,3,"Yes",75
"dr.1.2",10,30,75,4,"Limited by data contract",30
"dr.2",40,0,0,2,"No",72.5
"dr.a.1",11,29,72.5,1,"Yes",100
"dr.a.2",13,27,67.5,3,"Unclear",53.8
"dr.f.1",35,5,12.5,3,"Yes",82.9
"dr.f.2",35,5,12.5,3,"Yes",88.6
"dr.f.3",10,30,75,3,"Yes",60
"dr.i.1",10,30,75,2,"Yes",60
"dr.i.2",10,30,75,2,"No",50
"dr.r.1",35,5,12.5,3,"Yes",40
"dr.r.2",35,5,12.5,3,"Yes",60
"dr.r.3",35,5,12.5,3,"No",57.1
"pre.post",40,0,0,1,"post-policy",100
"reproducibility_rating",40,0,0,4,"1",50
"year_after_policy",40,0,0,1,"1",100
