"Variable","N_Valid","N_Missing","Percent_Missing","N_Categories","Most_Common","Most_Common_Pct"
"c_filter",100,0,0,2,"Yes",97
"cr.1",97,3,3,3,"Yes",91.8
"cr.1.1",94,6,6,8,"Figshare",75.5
"cr.4",92,8,8,4,"Unclear, specify why",58.7
"cr.a.1",94,6,6,3,"Yes",97.9
"cr.a.2",94,6,6,3,"Yes",93.6
"cr.f.1",94,6,6,2,"Yes",98.9
"cr.f.2",94,6,6,2,"Yes",97.9
"cr.i.1",92,8,8,3,"Yes",93.5
"cr.i.2",92,8,8,3,"Yes",83.7
"cr.i.3",94,6,6,3,"Yes",57.4
"cr.i.4",94,6,6,2,"No",98.9
"cr.r.1",94,6,6,3,"No",55.3
"cr.r.1.1",97,3,3,9,"CC BY 4.0",62.9
"cr.r.2",94,6,6,3,"Yes",91.5
"cr.r.3",94,6,6,3,"Unclear",59.6
"d_filter",100,0,0,2,"Yes",98
"d_synth",100,0,0,2,"Yes",93
"dr.1",98,2,2,3,"Yes",90.8
"dr.1.2",9,91,91,5,"Other, please specify",33.3
"dr.2",98,2,2,2,"No",72.4
"dr.a.1",27,73,73,2,"Yes",96.3
"dr.a.2",88,12,12,3,"No",68.2
"dr.f.1",95,5,5,3,"Yes",95.8
"dr.f.2",95,5,5,3,"Yes",90.5
"dr.f.3",27,73,73,3,"Yes",66.7
"dr.i.1",27,73,73,2,"Yes",88.9
"dr.i.2",27,73,73,3,"Yes",66.7
"dr.r.1",95,5,5,3,"No",65.3
"dr.r.2",95,5,5,3,"Yes",88.4
"dr.r.3",95,5,5,3,"No",85.3
"pre.post",100,0,0,1,"post-policy",100
"reproducibility_rating",100,0,0,6,"1",62
"year_after_policy",100,0,0,1,"3",100
